[24, 2001, 86781, 1, 2000001, 0, {}],
[25, 2001, 86781, 1, 2000002, 0, {}],
[26, 2001, 86796, 1, 2000003, 0, {}],
[27, 2001, 86810, 1, 2000004, 0, {}],
[28, 2001, 86818, 1, 2000005, 0, {}],
[46, 2001, 97818, 1, 2000006, 0, {}],
[47, 2001, 97776, 1, 2000007, 0, {}],
[48, 2001, 97718, 1, 2000008, 0, {}],
[49, 2001, 97668, 1, 2000009, 0, {}],
[50, 2001, 97651, 1, 2000010, 0, {}],
[51, 2001, 97635, 1, 2000011, 0, {}],
[52, 2001, 97634, 1, 2000012, 0, {}],
[53, 2001, 97651, 1, 2000013, 0, {}],
[54, 2001, 97668, 1, 2000014, 0, {}],
[55, 2001, 97668, 1, 2000015, 0, {}],
[56, 2001, 97659, 1, 2000016, 0, {}],
[57, 2001, 97676, 1, 2000017, 0, {}],
[58, 2001, 97659, 1, 2000018, 0, {}],
[59, 2001, 97643, 1, 2000019, 0, {}],
[60, 2001, 97526, 1, 2000020, 0, {}],
[61, 2001, 97485, 1, 2000021, 0, {}],
[62, 2001, 97460, 1, 2000022, 0, {}],
[63, 2001, 97452, 1, 2000023, 0, {}],
[64, 2001, 97493, 1, 2000024, 0, {}],
[65, 2001, 97560, 1, 2000025, 0, {}],
[66, 2001, 97626, 1, 2000026, 0, {}],
[67, 2001, 97659, 1, 2000027, 0, {}],
[68, 2001, 97676, 1, 2000028, 0, {}],
[69, 2001, 97701, 1, 2000029, 0, {}],
[70, 2001, 97717, 1, 2000030, 0, {}],
[71, 2001, 97742, 1, 2000031, 0, {}],
[72, 2001, 97775, 1, 2000032, 0, {}],
[73, 2001, 97792, 1, 2000033, 0, {}],
[74, 2001, 97809, 1, 2000034, 0, {}],
[75, 2001, 97834, 1, 2000035, 0, {}],
[76, 2001, 97867, 1, 2000036, 0, {}],
[77, 2001, 97883, 1, 2000037, 0, {}],
[78, 2001, 97908, 1, 2000038, 0, {}],
[79, 2001, 97950, 1, 2000039, 0, {}],
[80, 2001, 98008, 1, 2000040, 0, {}],
[81, 2001, 98075, 1, 2000041, 0, {}],
[82, 2001, 98125, 1, 2000042, 0, {}],
[83, 2001, 98192, 1, 2000043, 0, {}],
[84, 2001, 98276, 1, 2000044, 0, {}],
